id,Title,"url","Product סגנון היצירה","Product טכניקה","Product מצע",Length,Width,Height
51,מלכה,https://under1000.co.il/wp-content/uploads/2020/05/CC4AC0AF-ABA0-4046-A2A7-D0CB26C0964C.jpeg,,"צבעי אקריליק",קנבס,3,60,80
61,מלך,https://under1000.co.il/wp-content/uploads/2020/05/B8936517-AEB0-4BFA-A470-156DD751AE45.jpeg,,"צבעי אקריליק",קנבס,3,60,80
62,קקטוס,https://under1000.co.il/wp-content/uploads/2020/05/9075BBA8-FC00-49A6-AF70-E5C32E26007F.jpeg,,"טושים|צבעי אקריליק",קנבס,3,60,80
63,"ריקוד זוגי",https://under1000.co.il/wp-content/uploads/2020/05/C918459C-B205-4810-A8F0-406E654D7214.jpeg,,"צבעי אקריליק",קנבס,3,60,80
64,שייט,https://under1000.co.il/wp-content/uploads/2020/05/9D31997D-BE45-475A-A2FC-10156DA3BE90.jpeg,,"צבעי אקריליק",קנבס,3,60,80
121,"מופשט סדרה 1",https://under1000.co.il/wp-content/uploads/2020/05/IMG-5615.jpg,,"צבעי שמן",קנבס,,36,36
125,"דיוקן 10",https://under1000.co.il/wp-content/uploads/2020/05/19A1111C-0BB1-4FCB-8205-13E43ABE17B7.jpeg,,"צבעי אקריליק","עץ|רדי מייד",5,35,45
126,"דיוקן 11",https://under1000.co.il/wp-content/uploads/2020/05/6319CE09-D1A4-4D53-9FE4-1B51A03805C5.jpeg,,"צבעי אקריליק","עץ|רדי מייד",5,35,45
127,"דיוקן 12",https://under1000.co.il/wp-content/uploads/2020/05/DAEA9C48-DC8C-4653-BE70-22ECBC2B6D73.jpeg,,"צבעי אקריליק","עץ|רדי מייד",5,35,45
128,"דיוקן 13",https://under1000.co.il/wp-content/uploads/2020/05/E14196F8-A499-4829-A53D-43F51DD34AAC.jpeg,,"צבעי אקריליק","עץ|רדי מייד",5,35,45
129,"דיוקן מעשן",https://under1000.co.il/wp-content/uploads/2020/05/20200130_163228.jpg,,"צבעי שמן",קנבס,,100,100
131,שום,https://under1000.co.il/wp-content/uploads/2020/05/IMG_20200118_102854_767.jpg,,"צבעי שמן",קנבס,,50,70
133,ביצה,https://under1000.co.il/wp-content/uploads/2020/05/IMG_20200125_170855_222.jpg,,"צבעי שמן",קנבס,,80,100
287,Hydroponic,https://under1000.co.il/wp-content/uploads/2020/05/1.Hydroponic.jpg,,"תחריט צריבה על נחושת",נייר,3,15,25
289,Symmetry,https://under1000.co.il/wp-content/uploads/2020/05/3.Symmetry.jpg,,"תחריט לינולאום",נייר,3,20,15
290,Parabola,https://under1000.co.il/wp-content/uploads/2020/05/4.Parabola-Eclat.jpg,,"תחריט צריבה על נחושת",נייר,3,20,20
291,"בית בנחלאות",https://under1000.co.il/wp-content/uploads/2020/05/5.House-in-Nachlaot.jpg,,"תחריט צריבה על נחושת",נייר,3,11,20
297,"טבע דומם זוג כוסות",https://under1000.co.il/wp-content/uploads/2020/05/16.Two-Glasses.jpeg,,"צבעי אקריליק",נייר,3,30,42
314,"סוס גדול עם מגדלור",https://under1000.co.il/wp-content/uploads/2020/05/סוס-גדול-עם-מגדלור-scaled.jpg,,"צבעי אקריליק",קנבס,3.5,120,90
322,"סוס במדבר מרובע גדול",https://under1000.co.il/wp-content/uploads/2020/05/סוס-מרובע-גדול-scaled.jpg,,"צבעי אקריליק",קנבס,3.5,100,100
323,"סוס עם מגדלור מרובע בינוני",https://under1000.co.il/wp-content/uploads/2020/05/סוס-מרובע-קטן-עם-מגדלור-scaled.jpg,,"צבעי אקריליק",קנבס,3.5,80,80
324,"סוס פרא עם כוכב אדום",https://under1000.co.il/wp-content/uploads/2020/05/STAR_03.jpg,,"צבעי אקריליק",קנבס,3.5,100,80
327,"חמניות בקיץ ישראלי",https://under1000.co.il/wp-content/uploads/2020/05/חמניות-גובהה-scaled.jpg,,"צבעי אקריליק",עץ,2,35,85
329,"זוג ציפורים אדומות",https://under1000.co.il/wp-content/uploads/2020/05/זוג-ציפורים-אדומות-scaled.jpg,,"צבעי אקריליק",עץ,2,15,35
332,"הקוף או הבננה",https://under1000.co.il/wp-content/uploads/2020/05/קוף-אפור-על-רקע-כחול2-scaled.jpg,,"צבעי אקריליק",עץ,2,40,50
333,"קוף אדום",https://under1000.co.il/wp-content/uploads/2021/03/Red-monkey.jpg,,"טושים|צבעי אקריליק|צבעי שמן",קנבס,2,40,30
334,"כלב עם קסדה",https://under1000.co.il/wp-content/uploads/2020/05/כלב-על-רקע-כחול-scaled.jpg,,"צבעי אקריליק",עץ,3,30,35
469,"עץ ועצה",,נאיבי,תפירה,פורמייקה,,30,30
538,"אבסטרקט-צהוב כחול ולבן",,,"צבעי אקריליק",קנבס,,120,100
550,"קוצים לבנים (רקע אוקר)",,,"צבעי אקריליק",קנבס,,120,100
564,"בעל חיים -ברזל",,,,,15,30,30
635,"סוסים ירוקים",https://under1000.co.il/wp-content/uploads/2020/05/סוסים-ירוקים-על-וורוד-scaled.jpg,,"צבעי אקריליק",קנבס,3.5,80,120
652,"the artist",https://under1000.co.il/wp-content/uploads/2020/05/ממוסגר_03-scaled.jpg,,דיו|טושים|ספריי|עפרונות,נייר,1.5,30,35
653,"חייל מצטיין",https://under1000.co.il/wp-content/uploads/2020/05/ממוסגר_04-scaled.jpg,,"עפרונות|צבעי אקריליק",נייר,1.5,30,35
654,"love is in the air",https://under1000.co.il/wp-content/uploads/2020/05/ממוסגר_02-scaled.jpg,,"דיו|טושים|ספריי|צבעי אקריליק",נייר,1.5,30,35
655,"a shower of champion",https://under1000.co.il/wp-content/uploads/2020/05/ממוסגר_01-scaled.jpg,,"דיו|טושים|ספריי|צבעי אקריליק",נייר,1.5,30,35
711,"מוכתם - 2",,,"צבעי מים / אקוורל|צבעי שמן",נייר,,50,70
750,"פורטרייט גבר כחול",https://under1000.co.il/wp-content/uploads/2020/05/ממוסגר_05-scaled.jpg,,"דיו|טושים|ספריי|עפרונות|צבעי אקריליק",נייר,1.5,30,35
751,"Fuck off",https://under1000.co.il/wp-content/uploads/2020/05/ממוסגר_06-scaled.jpg,,דיו|טושים|ספריי|עפרונות,נייר,1.5,30,35
753,"My alter ego",https://under1000.co.il/wp-content/uploads/2020/05/אגו-לפנים-scaled.jpg,,"טושים|צבעי אקריליק",קנבס,2.5,35,45
754,"חתול כחול",https://under1000.co.il/wp-content/uploads/2020/05/CAT.jpg,,"צבעי אקריליק",קנבס,3.5,70,90
762,"BE HAPPY",https://under1000.co.il/wp-content/uploads/2020/05/BE-HAPPY.jpg,,"צבעי אקריליק",קנבס,2.5,35,45
765,"שעת הציידים",https://under1000.co.il/wp-content/uploads/2020/05/Duck.jpg,,"צבעי אקריליק",קנבס,3.5,40,50
767,"Love love",https://under1000.co.il/wp-content/uploads/2020/05/LOVE02.jpg,,"טושים|ספריי|צבעי אקריליק",קנבס,2.5,30,40
851,Horse_Mom,https://under1000.co.il/wp-content/uploads/2020/05/MOM.jpg,,"צבעי אקריליק",קנבס,3.5,80,120
956,"גבר עם כוס משקה",https://under1000.co.il/wp-content/uploads/2020/05/WhatsApp-Image-2020-05-26-at-2.31.45-PM-2.jpeg,,"חיתוך לייזר",,,30,40
964,"אישה עם תרמיל ירוק",https://under1000.co.il/wp-content/uploads/2020/05/WhatsApp-Image-2020-05-26-at-2.31.47-PM.jpeg,,"חיתוך לייזר",מתכת,,30,40
965,"אישה עם טרולי",https://under1000.co.il/wp-content/uploads/2020/05/WhatsApp-Image-2020-05-26-at-2.31.45-PM-1-1.jpeg,,"חיתוך לייזר",מתכת,,30,40
967,"ילדה על קורקינט",https://under1000.co.il/wp-content/uploads/2020/05/WhatsApp-Image-2020-05-26-at-2.31.46-PM-1-1.jpeg,,"חיתוך לייזר",מתכת,,30,40
968,"ילדה עם זר",https://under1000.co.il/wp-content/uploads/2020/05/WhatsApp-Image-2020-05-26-at-2.31.46-PM-2.jpeg,,"חיתוך לייזר",מתכת,,30,40
969,"בחורה עם תיק קטן",https://under1000.co.il/wp-content/uploads/2020/05/WhatsApp-Image-2020-05-26-at-2.31.44-PM.jpeg,,"חיתוך לייזר",מתכת,,30,40
